200121101148|adminmarga|http://localhost/etc_cms/login|login|{"username":"adminmarga"}|{"code":"1","message":"Login success. "}|::1

200121114102|adminmarga|operator_management/segment/getProvince/ed586142c981025176a48a98fdea9f853770db51e88f16d126544a9695e0a22096adf2de644be16cf494c17714c8580106989d735afb908153472136788a1605A9Xi9KlWBYbQtBwmkD7GAxEeq14|getProvince|[{"id_seq":"80d026a8e34d8ef789f29b44b4db997dfaf8638ab0929008be51e2581a33e25b2009def592c0677d626c3aa7377c0aa6dae453d3714e12fa49c7c2efd88bc7cdiOKlayHQX7xLz1Ezgps13fg6JNJ","name":"DKI JAKARTA"},{"id_seq":"0926fbfafbb8122908672d2637a058820628460b0669de071fa9cfe4428b3f8ab468c5b0c123045e771680655e6ba777e25e893c8952a4f44ea4a18bc71da446XH4w9Tj4LSGa3kMjWHRg9Fiv","name":"BANTEN"}]|success get province|::1

200121114104|adminmarga|operator_management/segment/getCity/80d026a8e34d8ef789f29b44b4db997dfaf8638ab0929008be51e2581a33e25b2009def592c0677d626c3aa7377c0aa6dae453d3714e12fa49c7c2efd88bc7cdiOKlayHQX7xLz1Ezgps13fg6JNJ|getCity|[{"id_seq":"1eb0bfa96c80742a7c6e59aa613d1ce6e72cbe525c355a28f9c4276f7ead5d39dd8c030cb57146684a43c186a1d681ad4d9812121bbeb43100f6e297427c1c22NxPJGIZss11rLuGkSsnhUEfk4Pk","name":"jakarta barat"},{"id_seq":"364a8e13c15044a3142c05e9d58440c9dbd0371e55041e1353142a910d0dbcacfc7f11c494a391a0bc86557eaf23cbfaa1c4ef6ab703f14995cc2378459ed12fI7B8ps13jirwBps13on45BIW7DG94ss11","name":"jakarta timur"},{"id_seq":"c6af67777002371d87997c87c06b5f379e39197ea58960e7a5c18d213d75c265952398061990094a3b6128bcde66325b61c7d9d2658646c661ed545a036f2fe8ps13fo8A3d6XGha7P6FQSoKXiEm","name":"jakarta selatan"},{"id_seq":"79e70128de7eb8e1782e839e739fed41d1a8581c141cad6e588eb4346cfaeb62b54130110e386d3d8bda752a1251b1bed852f48b61d81d3ae7c6ebf8c3df2da9GsEiqCJg1N25z5oG28abKxra","name":"jakarta utara"}]|success get City|::1

200121114106|adminmarga|fare_management/fare/getRute/1eb0bfa96c80742a7c6e59aa613d1ce6e72cbe525c355a28f9c4276f7ead5d39dd8c030cb57146684a43c186a1d681ad4d9812121bbeb43100f6e297427c1c22NxPJGIZss11rLuGkSsnhUEfk4Pk|getRoute|"1eb0bfa96c80742a7c6e59aa613d1ce6e72cbe525c355a28f9c4276f7ead5d39dd8c030cb57146684a43c186a1d681ad4d9812121bbeb43100f6e297427c1c22NxPJGIZss11rLuGkSsnhUEfk4Pk"|success get City|::1

200121114216|adminmarga|operator_management/segment/getProvince/4d9097eb53d8c5e4c3433eecf765b0e3cb1952a572829beb2957ca73ef25399300268080450d4a265f178198741b2b35bb746ad9ea865289b493e3011c733c6aNvlps13XMEzPI2OcVFFqHh6ps13Qoeq14|getProvince|[{"id_seq":"00e49649f8b1fb1b69c051c2bd4286db84f32d8a3444c59b1a9b62fa61701b1eb8cfea1b316f49e03daa45f78262b3b5b1d446ab5a71241d349c2945266901c1bZtHzz9RGjRSVp9o6eV1TJng","name":"DKI JAKARTA"},{"id_seq":"2c4959c877448983d364b05e78d6aa6255076eb61b357a296988be06ef5937ea5aaa22347eeaf8a75afb279417c6504dae815753625141523ccb6d4d7234e526v0fKeiIILtLy66Nd4lVxej7J","name":"BANTEN"}]|success get province|::1

200121114219|adminmarga|operator_management/segment/getCity/00e49649f8b1fb1b69c051c2bd4286db84f32d8a3444c59b1a9b62fa61701b1eb8cfea1b316f49e03daa45f78262b3b5b1d446ab5a71241d349c2945266901c1bZtHzz9RGjRSVp9o6eV1TJng|getCity|[{"id_seq":"7d358449e94dfb9019eea4e541d92258b891b0070bea23ae310491066128616ee0afb0f6904329da66146ad2d7ba2f827c21b3053efe755488e5af9adc632b8cPH9L3L1x6RKY1bPNKBy10fss11h","name":"jakarta barat"},{"id_seq":"2d971fb4008475bbbf734a80827fbbda813013321429ad8718a48d9f7a6426b5b276610da626500036ccb733b76a8e169ee8d3fadcae4b4f46eefbe1d7cbcedcp7itsXl2DMPXMN44Vps13ps130sps13lY","name":"jakarta timur"},{"id_seq":"2eeeedd02cd1b7d1d7a2f8d801dbf843dc4e0f320341ecfde0b4b3572c2eee48c7feda544d583a02101eaf77d6eb3475b42de23b9244eddae6e3e4d55b435bfbDEKVL518n0YAtn8ge6lmr0ys","name":"jakarta selatan"},{"id_seq":"27f54048a189f1b921ec6227adae2738f3cf3104a7728948dbbc3eb8117697febc9e8db80cc5b91f7c722caf29c10134c69c2983b4c7f7acd68821f51310086crMW5ZAIN4nlI1ISwIjJj8c6f","name":"jakarta utara"}]|success get City|::1

200121114221|adminmarga|fare_management/fare/getRute/7d358449e94dfb9019eea4e541d92258b891b0070bea23ae310491066128616ee0afb0f6904329da66146ad2d7ba2f827c21b3053efe755488e5af9adc632b8cPH9L3L1x6RKY1bPNKBy10fss11h|getRoute|"7d358449e94dfb9019eea4e541d92258b891b0070bea23ae310491066128616ee0afb0f6904329da66146ad2d7ba2f827c21b3053efe755488e5af9adc632b8cPH9L3L1x6RKY1bPNKBy10fss11h"|success get City|::1

200121114223|adminmarga|fare_management/fare/getRute/2d971fb4008475bbbf734a80827fbbda813013321429ad8718a48d9f7a6426b5b276610da626500036ccb733b76a8e169ee8d3fadcae4b4f46eefbe1d7cbcedcp7itsXl2DMPXMN44Vps13ps130sps13lY|getRoute|"2d971fb4008475bbbf734a80827fbbda813013321429ad8718a48d9f7a6426b5b276610da626500036ccb733b76a8e169ee8d3fadcae4b4f46eefbe1d7cbcedcp7itsXl2DMPXMN44Vps13ps130sps13lY"|success get City|::1

200121114403|adminmarga|operator_management/segment/getProvince/3f7d01a2da12bac3a336f23f2a313acb1e766db7c3ece22fb4f552028f3263a97ef0dcde28dda7c7fd3544f3d2d623dc8ec9a739575155817f4333e19588be6cWtiGtIbbGD3rCNG9YbS9V7Yeq14|getProvince|[{"id_seq":"5113e2709058da444ae5724bb1ea67622aabebb353f643ae7ee38e4ef438bc7c0681514a3250219c1e80587fecaaa3e70b54309ab15f9a624071ea18fc9aa6b26yJQ0Bkss11i4S4gf2wIyP55QqO","name":"DKI JAKARTA"},{"id_seq":"27a593725ab9098e84a37664e740cf91b4c9c651ca5f8c4a0a1778e02abe8e5ac5484b25cba76ea88d5380329db341a420b3bad45e42028552a5ad5ecaa51c74YlEukyLOMhPpPBfzR1PgMnWs","name":"BANTEN"}]|success get province|::1

